clock,website_events,server_events,PC1
2024-10-12 19:16:00,0.0,0.0,1306286350.0562348
2024-10-12 19:17:00,0.0,0.0,1306292231.7318869
2024-10-12 19:18:00,0.0,0.0,1306328564.6163998
2024-10-12 19:19:00,0.0,0.0,1306428510.1060185
2024-10-12 19:20:00,0.0,0.0,1306277789.1614065
2024-10-12 19:21:00,0.0,0.0,1306157605.3572907
2024-10-12 19:22:00,0.0,0.0,1306246175.6436567
2024-10-12 19:23:00,0.0,0.0,1306123786.6455894
2024-10-12 19:24:00,0.0,0.0,1306199466.7037687
2024-10-12 19:25:00,0.0,0.0,1306250330.3994303
2024-10-12 19:26:00,10.0,0.0,1306307530.7173948
2024-10-12 19:27:00,10.0,0.0,1306931058.8301616
2024-10-12 19:28:00,0.0,0.0,1307559032.6639042
2024-10-12 19:29:00,0.0,0.0,1307486926.7902546
2024-10-12 19:30:00,0.0,0.0,1307846553.99934
2024-10-12 19:31:00,0.0,0.0,1307983085.890593
2024-10-12 19:32:00,0.0,0.0,1307349331.4595785
2024-10-12 19:33:00,0.0,0.0,1306956083.147479
2024-10-12 19:34:00,0.0,0.0,1306838949.3610382
2024-10-12 19:35:00,0.0,0.0,1306454009.5919023
2024-10-12 19:36:00,0.0,0.0,1306459108.240456
2024-10-12 19:37:00,0.0,0.0,1306537508.9222274
2024-10-12 19:38:00,0.0,0.0,1306706325.9522195
2024-10-12 19:39:00,0.0,0.0,1306942864.0048237
2024-10-12 19:40:00,0.0,0.0,1307000205.4245696
2024-10-12 19:41:00,0.0,0.0,1307128210.147334
2024-10-12 19:42:00,0.0,0.0,1307145193.1313057
2024-10-12 19:43:00,0.0,0.0,1307188354.3105712
2024-10-12 19:44:00,0.0,0.0,1307185322.7122488
2024-10-12 19:45:00,0.0,0.0,1307185926.4523458
2024-10-12 19:46:00,0.0,0.0,1307186055.4813323
2024-10-12 19:47:00,10.0,0.0,1307186216.8900976
2024-10-12 19:48:00,10.0,0.0,1306945168.6587663
2024-10-12 19:49:00,0.0,0.0,1306695442.4141374
2024-10-12 19:50:00,0.0,0.0,1306665129.560637
2024-10-12 19:51:00,0.0,0.0,1306501016.246111
2024-10-12 19:52:00,0.0,0.0,1306499775.463088
2024-10-12 19:53:00,13.0,0.0,1306535728.256403
2024-10-12 19:54:00,13.0,0.0,1306496591.2609067
2024-10-12 19:55:00,0.0,0.0,1306599102.5668607
2024-10-12 19:56:00,0.0,0.0,1306721558.8192754
2024-10-12 19:57:00,0.0,0.0,1306738670.9774609
2024-10-12 19:58:00,0.0,0.0,1306888795.5148726
2024-10-12 19:59:00,0.0,0.0,1306799347.6266928
2024-10-12 20:00:00,0.0,0.0,1306778495.9995246
2024-10-12 20:01:00,0.0,0.0,1306838753.1682534
2024-10-12 20:02:00,0.0,0.0,1306799947.0942588
2024-10-12 20:03:00,0.0,0.0,1306917171.6639786
2024-10-12 20:04:00,0.0,0.0,1306801817.7396803
2024-10-12 20:05:00,0.0,0.0,1306734972.3531408
2024-10-12 20:06:00,0.0,0.0,1306891944.2442946
2024-10-12 20:07:00,0.0,0.0,1306976421.8492813
2024-10-12 20:08:00,0.0,0.0,1306959325.7906332
2024-10-12 20:09:00,0.0,0.0,1307014393.9610853
2024-10-12 20:10:00,0.0,0.0,1307028842.6362934
2024-10-12 20:11:00,0.0,0.0,1307003241.1109343
2024-10-12 20:12:00,0.0,0.0,1307058846.558834
2024-10-12 20:13:00,0.0,0.0,1307168115.7723236
2024-10-12 20:14:00,0.0,0.0,1307280036.0465932
2024-10-12 20:15:00,0.0,0.0,1307315434.4639664
2024-10-12 20:16:00,0.0,0.0,1307381127.9852114
2024-10-12 20:17:00,0.0,0.0,1307391854.481976
2024-10-12 20:18:00,0.0,0.0,1307428751.2684903
2024-10-12 20:19:00,0.0,0.0,1307429117.2801137
2024-10-12 20:20:00,0.0,0.0,1307278204.8117929
2024-10-12 20:21:00,0.0,0.0,1307121176.9830694
2024-10-12 20:22:00,0.0,0.0,1307095912.8652792
2024-10-12 20:23:00,0.0,0.0,1307044565.8107872
2024-10-12 20:24:00,0.0,0.0,1307027670.145142
2024-10-12 20:25:00,0.0,0.0,1307134990.4665828
2024-10-12 20:26:00,0.0,0.0,1307083263.96868
2024-10-12 20:27:00,0.0,0.0,1307071461.640407
2024-10-12 20:28:00,0.0,0.0,1307287050.7339826
2024-10-12 20:29:00,0.0,0.0,1307302143.1734967
2024-10-12 20:30:00,0.0,0.0,1307444346.9320712
2024-10-12 20:31:00,0.0,0.0,1307431935.2124271
2024-10-12 20:32:00,0.0,0.0,1307449194.1277618
2024-10-12 20:33:00,0.0,0.0,1307400111.8896265
2024-10-12 20:34:00,0.0,0.0,1307400645.2240772
2024-10-12 20:35:00,0.0,0.0,1307377199.7281613
2024-10-12 20:36:00,0.0,0.0,1307378531.9236388
2024-10-12 20:37:00,0.0,0.0,1307389149.9970074
2024-10-12 20:38:00,0.0,0.0,1307620405.0449076
2024-10-12 20:39:00,0.0,0.0,1307821618.8220057
2024-10-12 20:40:00,0.0,0.0,1307703470.0165062
2024-10-12 20:41:00,0.0,0.0,1308119113.8495483
2024-10-12 20:42:00,0.0,0.0,1308466251.1422677
2024-10-12 20:43:00,0.0,0.0,1308510667.86375
2024-10-12 20:44:00,0.0,0.0,1308820068.2311368
2024-10-12 20:45:00,0.0,0.0,1308762326.689063
2024-10-12 20:46:00,0.0,0.0,1308408085.6407132
2024-10-12 20:47:00,0.0,0.0,1308030339.7203379
2024-10-12 20:48:00,0.0,0.0,1307880816.9594698
2024-10-12 20:49:00,0.0,0.0,1307627045.3007913
2024-10-12 20:50:00,0.0,0.0,1307618039.017292
2024-10-12 20:51:00,0.0,0.0,1307594110.5765204
2024-10-12 20:52:00,0.0,0.0,1307689416.8796234
2024-10-12 20:53:00,0.0,0.0,1307771129.8584929
2024-10-12 20:54:00,0.0,0.0,1307786529.612154
2024-10-12 20:55:00,0.0,0.0,1307802276.13761
2024-10-12 20:56:00,0.0,0.0,1307795718.4066238
2024-10-12 20:57:00,0.0,0.0,1307798509.987093
2024-10-12 20:58:00,10.0,0.0,1307795708.3489914
2024-10-12 20:59:00,10.0,0.0,1307785147.102635
2024-10-12 21:00:00,0.0,0.0,1307687584.0331535
2024-10-12 21:01:00,0.0,0.0,1307564786.505322
2024-10-12 21:02:00,0.0,0.0,1307565492.3820877
2024-10-12 21:03:00,0.0,0.0,1307522307.397809
2024-10-12 21:04:00,13.0,0.0,1307513047.2979321
2024-10-12 21:05:00,13.0,0.0,1307527631.2077804
2024-10-12 21:06:00,0.0,0.0,1307523683.2159128
2024-10-12 21:07:00,0.0,0.0,1307501884.7143998
2024-10-12 21:08:00,0.0,0.0,1307589845.4454494
2024-10-12 21:09:00,0.0,0.0,1307706603.2662215
2024-10-12 21:10:00,13.0,0.0,1307768803.8264055
2024-10-12 21:11:00,13.0,0.0,1307835579.5632553
2024-10-12 21:12:00,0.0,0.0,1307737910.1782703
2024-10-12 21:13:00,0.0,0.0,1307624364.4263105
2024-10-12 21:14:00,0.0,0.0,1307702233.6075063
2024-10-12 21:15:00,0.0,0.0,1307717533.58666
2024-10-12 21:16:00,0.0,0.0,1307758397.062097
2024-10-12 21:17:00,0.0,0.0,1307877971.4176407
2024-10-12 21:18:00,0.0,0.0,1307951064.8978167
2024-10-12 21:19:00,0.0,0.0,1307978227.7623687
2024-10-12 21:20:00,0.0,0.0,1307841849.5713139
2024-10-12 21:21:00,0.0,0.0,1307729123.9400558
2024-10-12 21:22:00,0.0,0.0,1307717509.2561836
2024-10-12 21:23:00,0.0,0.0,1307632415.8805146
2024-10-12 21:24:00,0.0,0.0,1307788364.992959
2024-10-12 21:25:00,0.0,0.0,1307829729.4234362
2024-10-12 21:26:00,0.0,0.0,1307788815.2170157
2024-10-12 21:27:00,13.0,0.0,1307883936.5415
2024-10-12 21:28:00,13.0,0.0,1307885012.7130594
2024-10-12 21:29:00,0.0,0.0,1307889882.7765398
2024-10-12 21:30:00,0.0,0.0,1307934318.1119761
2024-10-12 21:31:00,0.0,0.0,1307979947.3579135
2024-10-12 21:32:00,0.0,0.0,1307995896.0875516
2024-10-12 21:33:00,0.0,0.0,1308068892.0743713
2024-10-12 21:34:00,0.0,0.0,1308080319.2008705
2024-10-12 21:35:00,0.0,0.0,1308071185.7117057
2024-10-12 21:36:00,0.0,0.0,1308045887.1019063
2024-10-12 21:37:00,0.0,0.0,1308070863.6436825
2024-10-12 21:38:00,0.0,0.0,1308189583.3021832
2024-10-12 21:39:00,0.0,0.0,1308222441.251007
2024-10-12 21:40:00,0.0,0.0,1308276343.4700499
2024-10-12 21:41:00,0.0,0.0,1308306338.6488366
2024-10-12 21:42:00,0.0,0.0,1308324262.0882325
2024-10-12 21:43:00,0.0,0.0,1307809992.6636891
2024-10-12 21:44:00,0.0,0.0,1307696316.3500667
2024-10-12 21:45:00,0.0,0.0,1308018677.1527367
2024-10-12 21:46:00,0.0,0.0,1307739593.1729345
2024-10-12 21:47:00,13.0,0.0,1307996827.9316568
2024-10-12 21:48:00,13.0,0.0,1308103413.3785439
2024-10-12 21:49:00,0.0,0.0,1308572174.3645568
2024-10-12 21:50:00,0.0,0.0,1308989763.979886
2024-10-12 21:51:00,0.0,0.0,1309116822.4543486
2024-10-12 21:52:00,0.0,0.0,1309409297.8172617
2024-10-12 21:53:00,0.0,0.0,1309399799.0882869
2024-10-12 21:54:00,0.0,0.0,1308992926.7193398
2024-10-12 21:55:00,0.0,0.0,1308525425.9590478
2024-10-12 21:56:00,0.0,0.0,1308382433.525381
2024-10-12 21:57:00,0.0,0.0,1308116518.775384
2024-10-12 21:58:00,0.0,0.0,1308186491.933601
2024-10-12 21:59:00,0.0,0.0,1308144125.006928
2024-10-12 22:00:00,0.0,0.0,1308143367.8672643
2024-10-12 22:01:00,0.0,0.0,1308221966.9596524
2024-10-12 22:02:00,0.0,0.0,1308250991.478135
2024-10-12 22:03:00,0.0,0.0,1308138071.217575
2024-10-12 22:04:00,0.0,0.0,1308311948.1357746
2024-10-12 22:05:00,0.0,0.0,1308378796.5362248
2024-10-12 22:06:00,0.0,0.0,1308196098.6066232
2024-10-12 22:07:00,0.0,0.0,1308125224.091896
2024-10-12 22:08:00,0.0,0.0,1308157660.2348413
2024-10-12 22:09:00,0.0,0.0,1307754048.2192998
2024-10-12 22:10:00,0.0,0.0,1307852266.2501373
2024-10-12 22:11:00,0.0,0.0,1308140290.3339505
2024-10-12 22:12:00,0.0,0.0,1308038223.6637602
2024-10-12 22:13:00,0.0,0.0,1308330917.836831
2024-10-12 22:14:00,0.0,0.0,1308340306.370595
2024-10-12 22:15:00,0.0,0.0,1308384716.7035508
2024-10-12 22:16:00,0.0,0.0,1308385461.8938775
2024-10-12 22:17:00,0.0,0.0,1308417645.1351
2024-10-12 22:18:00,0.0,0.0,1308445602.3294168
2024-10-12 22:19:00,0.0,0.0,1308509134.5420656
2024-10-12 22:20:00,0.0,0.0,1308595054.1108003
2024-10-12 22:21:00,0.0,0.0,1308602277.924749
2024-10-12 22:22:00,0.0,0.0,1308562634.09972
2024-10-12 22:23:00,0.0,0.0,1308520185.8192968
2024-10-12 22:24:00,0.0,0.0,1308470870.58923
2024-10-12 22:25:00,0.0,0.0,1308380297.3403277
2024-10-12 22:26:00,0.0,0.0,1308390855.6017299
2024-10-12 22:27:00,0.0,0.0,1308388133.8726463
2024-10-12 22:28:00,0.0,0.0,1308451032.5657344
2024-10-12 22:29:00,0.0,0.0,1308447566.5654597
2024-10-12 22:30:00,0.0,0.0,1308440996.8046818
2024-10-12 22:31:00,0.0,0.0,1308435240.6493812
2024-10-12 22:32:00,0.0,0.0,1308438563.019216
2024-10-12 22:33:00,0.0,0.0,1308505903.7613215
2024-10-12 22:34:00,0.0,0.0,1308585343.8396993
2024-10-12 22:35:00,0.0,0.0,1308590018.551011
2024-10-12 22:36:00,0.0,0.0,1308668071.496725
2024-10-12 22:37:00,0.0,0.0,1308671947.4731035
2024-10-12 22:38:00,0.0,0.0,1308877445.211059
2024-10-12 22:39:00,0.0,0.0,1309247350.5128593
2024-10-12 22:40:00,0.0,0.0,1309493470.2113996
2024-10-12 22:41:00,0.0,0.0,1309650743.5001416
2024-10-12 22:42:00,10.0,0.0,1309869114.3198705
2024-10-12 22:43:00,10.0,0.0,1309976825.4342127
2024-10-12 22:44:00,0.0,0.0,1309958225.737927
2024-10-12 22:45:00,0.0,0.0,1310030020.6281867
2024-10-12 22:46:00,0.0,0.0,1310015821.4275713
2024-10-12 22:47:00,0.0,0.0,1310036798.6011872
2024-10-12 22:48:00,0.0,0.0,1310069607.9757318
2024-10-12 22:49:00,0.0,0.0,1310066483.816976
2024-10-12 22:50:00,0.0,0.0,1310072777.4870248
2024-10-12 22:51:00,0.0,0.0,1310067046.1061325
2024-10-12 22:52:00,0.0,0.0,1309638070.9792323
2024-10-12 22:53:00,0.0,0.0,1309236461.2142267
2024-10-12 22:54:00,0.0,0.0,1308866607.3014379
2024-10-12 22:55:00,0.0,0.0,1308562899.8301024
2024-10-12 22:56:00,0.0,0.0,1308670347.9878535
2024-10-12 22:57:00,0.0,0.0,1308201230.1499243
2024-10-12 22:58:00,0.0,0.0,1308417674.8560286
2024-10-12 22:59:00,0.0,0.0,1308530930.6442275
2024-10-12 23:00:00,0.0,0.0,1308437933.278616
2024-10-12 23:01:00,0.0,0.0,1308720016.243393
2024-10-12 23:02:00,0.0,0.0,1308682867.9262524
2024-10-12 23:03:00,0.0,0.0,1308564853.3665667
2024-10-12 23:04:00,13.0,0.0,1308521244.0418086
2024-10-12 23:05:00,13.0,0.0,1308685462.2688603
2024-10-12 23:06:00,0.0,0.0,1308624548.8305597
2024-10-12 23:07:00,0.0,0.0,1308727607.7021208
2024-10-12 23:08:00,0.0,0.0,1308725956.5596418
2024-10-12 23:09:00,0.0,0.0,1308732951.9960508
2024-10-12 23:10:00,13.0,0.0,1308724267.101427
2024-10-12 23:11:00,13.0,0.0,1308784819.688202
2024-10-12 23:12:00,0.0,0.0,1308795776.3369389
2024-10-12 23:13:00,0.0,0.0,1308901755.8673134
2024-10-12 23:14:00,0.0,0.0,1308950192.83576
2024-10-12 23:15:00,0.0,0.0,1309077375.8177953
2024-10-12 23:16:00,0.0,0.0,1309173020.4783492
2024-10-12 23:17:00,0.0,0.0,1309225050.187191
